1m;2m;3m;4m;5m;10m;15m;20m;25m;30m
0.94;1.88;2.92;3.94;4.93;9.94;15.02;20.87;25.01;29.88
0.94;1.88;2.92;3.94;4.93;9.92;15.03;20.90;25.03;29.92
0.94;1.88;2.92;3.95;4.94;9.94;15.07;20.92;25.01;29.89
0.94;1.88;2.92;3.95;4.94;9.92;15.03;20.87;25.01;29.91
0.94;1.88;2.93;3.95;4.94;9.89;15.01;20.36;25.03;29.86
0.94;1.88;2.93;3.95;4.94;9.92;15.03;20.92;24.99;29.85
0.94;1.88;2.93;3.95;4.94;9.87;15.04;20.93;25.00;29.89
0.94;1.88;2.93;3.95;4.94;9.90;15.01;20.92;25.04;29.85
0.94;1.88;2.93;3.95;4.94;9.91;15.02;20.89;24.99;29.81
0.94;1.88;2.93;3.95;4.94;9.94;15.01;20.18;24.98;29.83
0.94;1.88;2.93;3.95;4.94;9.91;15.07;20.91;25.03;29.89
0.94;1.88;2.93;3.95;4.94;9.92;14.98;20.63;25.03;29.91
0.94;1.88;2.93;3.95;4.94;9.92;15.01;20.92;24.97;29.85
0.94;1.89;2.93;3.95;4.94;9.87;15.06;20.90;25.01;29.87
0.94;1.89;2.93;3.95;4.94;9.91;15.03;20.89;24.96;29.89
0.94;1.89;2.93;3.95;4.94;9.87;15.02;20.67;24.98;29.80
0.94;1.89;2.93;3.95;4.94;9.90;14.98;20.88;25.01;29.87
0.94;1.89;2.93;3.95;4.94;9.94;14.98;20.66;24.99;29.89
0.94;1.89;2.93;3.95;4.94;9.89;15.00;20.93;24.99;29.86
0.94;1.89;2.93;3.95;4.94;9.93;15.06;20.88;25.01;29.87
0.94;1.89;2.93;3.95;4.94;9.90;14.99;20.67;24.99;29.92
0.94;1.90;2.93;3.96;4.94;9.92;15.07;20.60;25.01;29.90
0.94;1.90;2.93;3.96;4.94;9.88;15.06;20.82;24.99;29.88
0.94;1.91;2.93;3.96;4.94;9.90;15.05;20.38;25.02;29.91
0.95;1.91;2.93;3.96;4.94;9.91;15.03;20.90;25.04;29.88
0.95;0.00;2.93;3.97;4.94;9.91;0.00;20.25;25.04;29.84
0.95;0.00;2.93;3.97;4.94;9.92;0.00;20.87;24.99;29.90
0.95;0.00;2.93;3.98;4.94;9.89;0.00;20.92;25.02;29.87
0.95;0.00;2.93;3.98;4.94;9.91;0.00;20.94;25.01;29.89
0.95;0.00;2.93;0.00;4.94;9.92;0.00;20.94;25.05;29.89
0.95;0.00;2.93;0.00;4.94;9.92;0.00;20.89;25.01;29.90
0.95;0.00;2.93;0.00;4.94;9.89;0.00;20.93;25.05;29.88
0.95;0.00;2.93;0.00;4.94;9.90;0.00;20.94;24.96;29.87
0.95;0.00;2.93;0.00;4.94;9.94;0.00;20.92;25.04;29.85
0.95;0.00;2.93;0.00;4.94;9.89;0.00;20.64;25.02;29.86
0.95;0.00;2.93;0.00;4.94;9.94;0.00;20.90;24.98;29.86
0.95;0.00;2.93;0.00;4.95;9.90;0.00;20.87;24.99;29.87
